step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
462,PAYMENT,151.57,14876.44,36560.89,43471.97,87972.72,0,0
727,TRANSFER,3345.85,49765.07,69045.39,42436.08,9981.8,0,0
252,CASH_OUT,1195.95,2400.35,70045.39,7111.72,80823.09,0,0
702,PAYMENT,991.05,10356.59,27941.66,12687.97,19828.46,0,0
296,CASH_OUT,1123.83,31872.85,94722.07,55229.95,93931.68,0,0
725,PAYMENT,1891.32,23923.42,67448.15,64695.02,74810.79,0,0
720,DEBIT,609.5,36092.35,63213.31,41555.16,82903.54,0,0
338,TRANSFER,541.71,75574.52,89942.75,98865.49,58078.51,0,0
53,TRANSFER,1321.12,21729.91,28482.27,30648.29,40414.87,0,0
217,CASH_OUT,72.57,62579.76,7596.07,78663.28,17793.72,0,0
188,DEBIT,2059.2,88088.28,59842.1,39628.97,52467.37,0,0
380,CASH_OUT,3461.45,30460.13,16772.65,64589.86,36269.21,0,0
493,CASH_OUT,2599.62,4942.35,29352.15,92326.26,95489.21,0,0
41,PAYMENT,1267.13,63131.61,33858.1,50612.07,47022.5,0,0
157,DEBIT,1666.61,71667.48,96782.33,81889.53,37896.28,0,0
15,PAYMENT,53.06,47653.02,83705.74,70534.4,75060.44,0,0
65,CASH_OUT,4868.89,42803.96,58045.83,45842.02,81853.73,0,0
521,PAYMENT,1633.17,74631.75,81233.72,88945.48,26567.94,0,0
344,PAYMENT,760.79,41647.05,47790.21,27995.22,99187.83,0,0
129,TRANSFER,695.1,475.04,37880.08,6214.26,42242.23,0,0
648,DEBIT,2155.61,88987.01,2823.05,68393.93,54388.27,0,0
472,TRANSFER,1755.72,25320.84,86790.84,76342.66,83416.14,0,0
63,DEBIT,416.12,60843.93,61786.04,49159.92,42191.84,0,0
139,TRANSFER,1054.99,55474.75,20639.02,53729.89,26986.08,0,0
499,CASH_OUT,2255.14,51324.25,89718.65,40500.2,39923.98,0,0
593,TRANSFER,706.66,24640.86,26940.8,83586.27,46447.67,0,0
392,DEBIT,1423.75,74027.42,72873.48,30190.55,40476.0,0,0
675,DEBIT,588.42,24607.51,76720.19,47946.26,45763.05,0,0
419,DEBIT,148.76,93898.1,80428.69,57974.05,49987.54,0,0
289,TRANSFER,982.85,56022.74,78407.74,50717.03,19202.6,0,0
379,PAYMENT,2634.11,77001.6,72146.3,92278.63,38246.42,0,0
490,TRANSFER,481.22,74454.88,58262.41,80569.53,3695.6,0,0
231,PAYMENT,2808.94,96829.6,51125.86,82951.65,37629.32,0,0
41,TRANSFER,2214.25,53224.64,9272.21,33146.86,39739.82,0,0
28,CASH_OUT,1416.0,5504.87,1960.98,50489.05,77327.88,0,0
135,CASH_OUT,7112.59,8805.93,11776.43,35139.5,58532.9,0,0
201,TRANSFER,4298.26,35769.87,68898.05,95000.15,42893.84,0,0
33,TRANSFER,1656.45,36030.04,3304.81,80463.21,14923.81,0,0
48,TRANSFER,1631.9,21734.92,48260.93,64871.36,45316.22,0,0
503,CASH_OUT,650.83,92576.24,19616.82,3340.83,60268.9,0,0
407,PAYMENT,5056.42,47312.16,16942.75,25423.67,58779.98,0,0
574,DEBIT,4525.36,90263.85,29018.74,22535.13,5490.29,0,0
728,PAYMENT,2710.03,5511.17,59939.76,3388.43,60082.25,0,0
99,TRANSFER,273.66,34816.45,37503.39,25641.83,24838.97,0,0
684,CASH_OUT,2432.4,35956.31,35174.2,94396.82,24011.23,0,0
726,DEBIT,583.69,3767.33,22164.68,23460.89,49845.7,0,0
547,PAYMENT,418.51,64754.48,47342.8,89244.98,67360.77,0,0
739,TRANSFER,2847.67,14204.57,78436.36,41719.67,57306.35,0,0
613,CASH_OUT,6424.44,34668.18,38165.59,33138.33,3256.08,0,0
462,CASH_OUT,230.61,98104.78,13977.17,66348.15,74076.27,0,0
643,DEBIT,358.2,93013.66,57249.07,90229.3,28730.88,0,0
5,PAYMENT,494.96,26140.09,81418.92,67227.7,81676.61,0,0
218,CASH_OUT,6588.87,31496.25,57912.45,84033.23,90167.04,0,0
503,TRANSFER,2384.08,54030.44,4330.63,12434.29,57997.65,0,0
398,TRANSFER,2268.2,28593.89,51909.25,79316.62,89145.27,0,0
393,DEBIT,1406.5,72571.09,21284.2,16658.7,14956.19,0,0
207,PAYMENT,1542.63,56711.05,49022.15,85927.81,97898.9,0,0
15,CASH_OUT,685.47,47257.6,32587.15,93508.68,64143.63,0,0
554,DEBIT,335.77,95739.0,21371.84,20268.13,23257.64,0,0
461,PAYMENT,3030.76,21747.91,30223.62,14525.25,69790.76,0,0
691,PAYMENT,1272.37,85855.97,11090.2,52910.83,7309.85,0,0
575,CASH_OUT,591.45,72717.26,69588.1,44074.99,30638.8,0,0
743,DEBIT,2003.59,20118.16,22713.04,78846.89,98948.2,0,0
241,DEBIT,470.08,18485.35,11728.5,45655.61,88787.36,0,0
564,DEBIT,1341.9,57751.16,79081.95,40243.23,90204.18,0,0
96,DEBIT,421.99,8004.86,2154.52,86752.02,29290.49,0,0
734,PAYMENT,2851.5,48082.64,50929.24,37875.88,16487.2,0,0
485,DEBIT,773.68,33719.82,40458.69,80079.68,10806.16,0,0
407,DEBIT,1165.71,85061.63,24429.66,79662.89,2449.99,0,0
231,CASH_OUT,2812.02,59680.84,39704.32,51494.67,47895.26,0,0
655,TRANSFER,2155.25,64018.74,22617.63,40182.96,52088.58,0,0
171,PAYMENT,1020.66,32676.39,12374.24,31382.1,68636.79,0,0
541,CASH_OUT,147.35,21651.94,42902.77,56453.03,1712.06,0,0
36,CASH_OUT,5092.04,53688.79,88998.32,71658.14,5908.43,0,0
525,CASH_OUT,15.91,94475.79,59072.4,38544.42,48813.97,0,0
160,PAYMENT,2652.99,59507.11,55925.07,95661.38,25604.87,0,0
699,TRANSFER,5815.59,1939.07,67123.99,63144.63,98808.28,0,0
243,PAYMENT,732.5,96373.13,44991.34,11878.37,52768.25,0,0
86,DEBIT,156.88,83375.46,85065.32,86826.16,34430.77,0,0
578,TRANSFER,574.15,88353.47,32461.87,66070.48,49228.16,0,0
682,PAYMENT,752.06,45253.0,32809.94,39553.88,20622.12,0,0
557,PAYMENT,1200.48,89628.28,23627.23,85867.82,98616.41,0,0
574,DEBIT,1489.89,25906.5,8679.42,56559.39,67034.21,0,0
646,PAYMENT,2584.37,80160.07,32483.67,23615.31,1229.57,0,0
28,TRANSFER,4623.56,61252.42,83124.74,21102.69,32838.31,0,0
620,CASH_OUT,1250.21,95260.22,78297.2,79905.86,10147.82,0,0
556,PAYMENT,2743.43,29632.72,91142.82,59108.21,15467.34,0,0
340,PAYMENT,272.1,12350.51,58660.03,90703.86,76285.62,0,0
331,TRANSFER,797.33,71700.42,21072.84,14211.37,72806.83,0,0
640,PAYMENT,251.31,98607.9,27785.67,16217.7,45921.5,0,0
506,CASH_OUT,2353.63,14581.91,22169.37,75498.44,29051.09,0,0
348,DEBIT,4764.24,10175.59,5595.38,45732.06,25904.93,0,0
473,DEBIT,4397.5,43067.15,49689.36,9499.5,76770.21,0,0
231,DEBIT,790.38,72027.67,71666.47,51432.27,14763.49,0,0
190,CASH_OUT,533.72,59661.06,72978.29,99704.51,64161.98,0,0
225,DEBIT,640.55,94009.76,77057.99,23657.13,11767.56,0,0
385,TRANSFER,677.49,80925.1,10904.34,29723.07,98921.39,0,0
377,TRANSFER,171.65,57260.35,40447.85,16691.23,2814.73,0,0
283,CASH_OUT,286.23,36111.73,66499.63,47934.08,57078.64,0,0
633,CASH_OUT,482.83,83532.02,15254.12,77198.07,42507.14,0,0
628,CASH_OUT,16.41,48828.79,50704.07,85322.52,72883.86,0,0
259,TRANSFER,96.76,87511.53,33967.62,1867.29,71205.03,0,0
359,CASH_OUT,2398.3,60054.92,51917.61,27869.07,19292.32,0,0
710,CASH_OUT,1931.61,70715.24,93052.88,64457.1,65087.3,0,0
456,DEBIT,5816.26,4675.13,60119.67,58071.65,8821.37,0,0
411,CASH_OUT,1027.52,99036.88,64709.32,23265.12,14915.42,0,0
649,PAYMENT,1175.17,75457.57,3700.34,41360.14,41107.3,0,0
318,DEBIT,140.28,58199.59,55338.88,28780.63,76335.57,0,0
677,TRANSFER,330.34,53219.48,13828.89,10433.93,22204.09,0,0
225,TRANSFER,2352.76,59946.95,72673.06,33798.14,24497.73,0,0
234,TRANSFER,535.86,4591.3,66885.49,82961.89,15219.46,0,0
684,DEBIT,2968.06,36461.45,15864.19,31295.74,52119.62,0,0
664,TRANSFER,2446.18,8945.48,34026.92,82621.18,92446.67,0,0
374,DEBIT,2750.81,17541.47,62867.97,86228.09,39152.41,0,0
672,DEBIT,2346.13,33300.75,34479.24,7558.56,96292.96,0,0
608,PAYMENT,2459.69,67265.27,21177.76,2084.4,81102.95,0,0
472,PAYMENT,1582.84,93063.33,18624.06,34627.36,39964.87,0,0
233,PAYMENT,2267.88,98708.95,48041.36,80508.95,40872.46,0,0
692,PAYMENT,1493.85,75109.88,36287.14,9673.97,44181.58,0,0
113,PAYMENT,461.57,26877.69,32915.08,9866.48,87328.94,0,0
497,TRANSFER,490.8,32236.11,97438.31,72517.64,83360.67,0,0
442,TRANSFER,1039.41,30707.05,51649.0,44804.37,7073.69,0,0
564,TRANSFER,28.03,83854.18,52420.96,41754.57,23536.52,0,0
268,PAYMENT,4401.81,77453.21,81463.91,39261.56,51183.87,0,0
510,CASH_OUT,624.68,6308.13,51138.5,21871.97,39592.36,0,0
386,TRANSFER,105.83,49466.38,3800.59,23672.45,33097.58,0,0
387,TRANSFER,1104.77,64177.32,77830.52,2419.12,97021.52,0,0
113,CASH_OUT,3381.27,1558.31,72869.22,53466.38,32555.05,0,0
613,PAYMENT,1012.85,59360.03,40062.09,78826.26,47201.8,0,0
625,DEBIT,609.47,94139.07,6253.41,75183.32,33585.21,0,0
81,CASH_OUT,1574.49,4738.02,14814.58,13099.33,10631.48,0,0
699,CASH_OUT,1708.42,17109.23,91889.99,78678.35,19441.79,0,0
113,TRANSFER,2847.49,10331.78,63186.17,98008.24,5275.68,0,0
2,TRANSFER,3216.41,36932.4,80139.01,45455.88,74226.58,0,0
642,PAYMENT,2449.76,36956.18,18675.04,52973.26,58704.95,0,0
220,DEBIT,9.1,95570.06,51176.95,17082.34,20997.12,0,0
566,DEBIT,4.16,80043.54,53470.16,52032.97,57391.85,0,0
736,CASH_OUT,7584.04,63714.22,36074.02,57857.5,64218.17,0,0
225,PAYMENT,613.61,64221.78,46460.2,79874.96,54180.59,0,0
385,DEBIT,663.55,66653.83,56022.29,49778.67,15444.74,0,0
403,CASH_OUT,2635.34,17087.32,6294.38,21006.81,56103.51,0,0
638,TRANSFER,1742.57,35420.65,60070.59,84638.31,34820.05,0,0
130,DEBIT,1245.62,64656.47,5235.32,50626.85,88267.84,0,0
53,CASH_OUT,247.59,3342.91,87569.44,65492.38,8072.26,0,0
684,DEBIT,170.0,48990.14,43365.43,92531.18,75160.03,0,0
730,PAYMENT,2432.25,83665.25,48667.79,88477.41,86769.34,0,0
672,CASH_OUT,266.16,54508.63,28275.32,52300.13,60954.56,0,0
710,PAYMENT,1144.73,86516.94,97290.48,31152.03,49278.5,0,0
416,CASH_OUT,2664.57,74646.38,32332.15,78961.59,99896.59,0,0
247,TRANSFER,5133.07,53886.72,40640.28,18348.67,79264.55,0,0
439,DEBIT,4136.39,37679.38,51510.78,70762.69,48430.09,0,0
203,TRANSFER,3990.7,65580.9,70430.69,68782.2,28749.49,0,0
184,PAYMENT,887.89,49740.99,32404.15,79267.53,91224.62,0,0
123,DEBIT,5239.28,99423.29,96760.54,74268.26,46534.46,0,0
401,TRANSFER,2301.89,61046.34,43112.53,11063.7,13026.25,0,0
294,CASH_OUT,4351.69,25174.53,25647.92,32715.55,47739.11,0,0
280,CASH_OUT,186.26,96299.16,32465.6,46153.53,92811.91,0,0
610,TRANSFER,80.72,28704.53,80171.54,8888.91,369.68,0,0
198,DEBIT,1123.0,89076.53,49596.68,13119.15,54781.94,0,0
511,PAYMENT,3520.7,49219.81,43656.67,2966.69,29763.27,0,0
144,CASH_OUT,1050.3,70492.52,2741.5,17237.17,80739.96,0,0
609,PAYMENT,4319.52,20171.89,85955.06,16892.9,90457.72,0,0
201,DEBIT,535.17,55939.93,64863.34,4813.86,23280.44,0,0
124,DEBIT,80.28,20109.16,94121.73,10898.97,56127.88,0,0
187,CASH_OUT,2864.98,23754.68,8063.39,92316.24,34020.86,0,0
326,PAYMENT,1967.9,16179.46,77842.76,36339.67,69565.83,0,0
464,DEBIT,1159.96,44936.33,71149.73,63081.24,87918.6,0,0
349,PAYMENT,3731.99,51470.14,53041.1,57510.29,2003.43,0,0
660,CASH_OUT,3476.54,26261.18,18058.73,22001.97,49009.99,0,0
403,CASH_OUT,784.71,61351.64,5273.99,3714.08,91037.55,0,0
346,DEBIT,3640.0,27104.77,38885.18,34692.42,4957.75,0,0
511,DEBIT,846.72,52142.07,78419.54,86091.23,23112.38,0,0
147,PAYMENT,1945.21,68575.17,36221.45,93271.3,43878.39,0,0
148,DEBIT,427.62,6004.43,81125.27,24955.3,99068.79,0,0
711,CASH_OUT,613.57,86014.31,92540.02,92011.39,5865.57,0,0
489,DEBIT,1187.97,35779.3,37795.77,67757.13,23318.8,0,0
640,TRANSFER,755.49,51684.45,43681.69,23113.26,39182.34,0,0
551,CASH_OUT,276.55,44580.23,24402.36,57820.96,90517.71,0,0
338,PAYMENT,1316.81,94966.96,36145.86,93368.17,13782.09,0,0
641,DEBIT,1432.25,18980.62,42118.96,87661.5,90016.7,0,0
473,DEBIT,345.63,62687.22,91528.84,21353.88,97155.89,0,0
151,CASH_OUT,383.08,82856.48,23103.97,93990.47,24481.3,0,0
415,CASH_OUT,59.57,42855.08,77689.36,61127.49,30011.13,0,0
298,PAYMENT,61.64,33518.93,36634.08,34862.06,20028.61,0,0
611,CASH_OUT,888.3,11236.68,96.76,39577.37,32694.69,0,0
263,PAYMENT,317.18,72077.82,72009.3,74020.81,25936.22,0,0
144,DEBIT,5028.88,78608.98,34803.41,80865.34,11597.41,0,0
346,PAYMENT,444.82,31359.5,33409.28,97941.42,77896.64,0,0
624,PAYMENT,136.48,77584.44,96634.93,49094.45,11612.13,0,0
572,PAYMENT,1035.6,9976.94,13782.96,31082.11,61312.95,0,0
2,DEBIT,427.54,43048.26,38214.39,21870.68,32726.27,0,0
304,TRANSFER,127.52,27679.39,91108.68,13335.07,38084.08,0,0
254,TRANSFER,2794.53,27548.59,86397.23,68264.91,93523.69,0,0
652,PAYMENT,1628.82,93040.43,76106.72,7369.06,10321.09,0,0
453,CASH_OUT,117.4,77637.51,11492.52,10128.61,44544.94,0,0
37,TRANSFER,1262.29,76618.14,56331.54,46353.57,54355.12,0,0
160,DEBIT,79.21,49318.82,74875.02,49066.15,57684.28,0,0
9,PAYMENT,874.88,62163.13,53010.53,34919.62,94482.93,0,0
233,TRANSFER,902.87,78598.39,23589.8,98667.67,73868.92,0,0
99,DEBIT,3463.02,26660.0,77076.79,16342.05,19778.95,0,0
659,PAYMENT,2658.2,29132.08,57559.84,21067.19,40722.7,0,0
208,TRANSFER,4544.96,88351.9,29196.78,44329.12,36089.47,0,0
131,PAYMENT,302.85,22899.0,87881.02,98698.62,58935.55,0,0
404,TRANSFER,1526.13,67997.83,4643.81,22563.63,98720.86,0,0
152,TRANSFER,40.79,91892.94,58190.03,11220.3,87470.64,0,0
54,CASH_OUT,3491.91,95227.59,57026.61,75535.19,98129.04,0,0
120,TRANSFER,913.24,30318.82,50334.89,19951.6,20447.17,0,0
673,CASH_OUT,143.65,95016.78,98221.79,15045.63,93946.5,0,0
628,DEBIT,785.07,13798.71,34128.98,57121.07,3381.86,0,0
587,TRANSFER,676.3,24257.54,37622.39,13991.11,42141.68,0,0
625,PAYMENT,2904.88,40171.0,53237.34,93430.6,27709.08,0,0
420,CASH_OUT,270.75,75959.16,84081.53,4042.08,64821.51,0,0
422,TRANSFER,1622.85,8966.34,48945.6,2454.88,10320.74,0,0
104,CASH_OUT,3158.97,22246.94,73570.64,86201.89,49615.85,0,0
254,PAYMENT,2690.6,47672.8,86732.66,57831.41,79972.74,0,0
227,PAYMENT,5494.78,7475.58,36677.65,90595.02,26792.82,0,0
112,PAYMENT,1.26,35266.93,93755.76,38409.85,77847.18,0,0
510,DEBIT,873.3,61458.26,64589.76,98786.0,10996.87,0,0
473,DEBIT,922.75,77260.06,98623.56,17798.49,95711.75,0,0
99,PAYMENT,67.75,50086.89,757.26,14195.02,78177.05,0,0
153,DEBIT,3399.45,44829.41,47190.49,1746.68,68029.76,0,0
338,DEBIT,2335.22,33180.27,2211.3,32034.12,37085.62,0,0
706,DEBIT,1501.9,36839.14,38901.91,63483.4,90027.19,0,0
163,DEBIT,1038.45,53977.91,77780.12,19944.98,92244.0,0,0
720,DEBIT,4515.52,39610.34,56327.64,81369.5,97847.72,0,0
681,DEBIT,614.31,31733.54,53989.18,3932.31,37259.66,0,0
161,PAYMENT,814.56,62338.84,22103.38,83774.67,50101.24,0,0
580,DEBIT,6099.59,99664.21,80870.41,6158.29,73899.11,0,0
398,DEBIT,133.62,29336.15,80000.74,55038.52,44885.3,0,0
277,CASH_OUT,3033.83,12008.65,17428.22,8995.63,95559.2,0,0
504,CASH_OUT,2532.12,14735.08,4125.91,46491.55,43996.29,0,0
392,DEBIT,4643.3,60686.15,94265.37,22457.33,99861.59,0,0
135,TRANSFER,189.86,55687.14,73629.74,33375.59,23888.32,0,0
195,TRANSFER,7042.93,10674.91,29526.1,19827.64,83033.07,0,0
401,DEBIT,58.52,41007.72,16342.41,1237.58,36181.4,0,0
640,PAYMENT,824.08,85420.52,57777.87,83393.27,13925.75,0,0
33,PAYMENT,177.28,47792.17,88323.58,62230.85,27334.46,0,0
688,CASH_OUT,105.06,78181.47,18845.81,4507.85,56717.02,0,0
460,PAYMENT,6688.94,4634.24,10326.05,24231.51,31254.67,0,0
470,PAYMENT,2543.56,49133.56,4130.48,64545.69,34210.62,0,0
375,PAYMENT,1409.18,82407.69,35228.25,40769.74,42205.15,0,0
22,DEBIT,229.0,60197.44,40493.72,40490.77,80635.93,0,0
670,DEBIT,1493.19,11434.23,95992.92,6211.22,56402.62,0,0
38,TRANSFER,771.48,88464.73,28701.59,3414.26,26322.08,0,0
230,CASH_OUT,633.77,18519.74,73931.22,96997.02,77388.38,0,0
365,TRANSFER,1925.21,71198.12,81500.02,76868.07,18904.01,0,0
563,PAYMENT,3130.13,7241.83,42627.9,26770.39,72963.3,0,0
438,PAYMENT,1171.31,53840.16,19419.16,83831.17,99897.95,0,0
283,TRANSFER,1359.67,30054.43,51145.82,85540.17,42713.54,0,0
27,TRANSFER,2107.83,97644.61,53850.48,61916.73,22680.15,0,0
226,DEBIT,266.24,89964.18,73967.91,9275.01,73396.01,0,0
277,DEBIT,3527.59,44077.9,20876.25,34961.02,90527.93,0,0
609,CASH_OUT,3627.26,85386.0,75035.38,92222.27,59122.96,0,0
284,DEBIT,1557.61,23938.55,29296.69,33212.07,6405.4,0,0
481,PAYMENT,415.43,52040.81,9314.52,96054.03,38584.91,0,0
453,PAYMENT,1389.35,82870.26,32312.59,96756.23,10653.89,0,0
659,TRANSFER,223.96,68449.83,13584.93,14500.48,16489.24,0,0
516,CASH_OUT,2881.83,44875.79,96975.41,29423.92,50171.89,0,0
547,DEBIT,745.47,53540.81,75802.54,60887.39,41665.38,0,0
192,CASH_OUT,745.3,29067.56,35796.64,19258.41,775.73,0,0
49,PAYMENT,5802.62,56358.76,42320.12,26138.24,64089.6,0,0
512,PAYMENT,1095.87,13587.3,36111.29,29082.46,77247.31,0,0
17,DEBIT,3117.25,75693.11,28183.98,51383.24,65589.02,0,0
172,DEBIT,2027.6,99494.23,98933.27,59400.57,46069.91,0,0
220,DEBIT,760.11,5196.74,14271.29,42405.84,81533.53,0,0
158,TRANSFER,264.3,79252.63,17454.2,96996.82,42019.7,0,0
477,PAYMENT,3196.43,83975.37,18940.55,70933.69,49728.28,0,0
46,TRANSFER,2875.21,3384.57,78066.01,25124.83,86984.35,0,0
373,PAYMENT,370.65,58478.61,55858.72,42856.68,19067.9,0,0
518,DEBIT,573.01,89274.62,12019.08,72966.54,1376.62,0,0
99,PAYMENT,2906.9,56776.0,29067.18,53268.67,24436.47,0,0
37,PAYMENT,8224.72,58819.0,50285.88,14831.86,7771.69,0,0
280,CASH_OUT,3711.2,99551.81,84455.53,82880.43,68083.58,0,0
349,PAYMENT,2304.99,89793.45,17990.06,90343.34,72795.02,0,0
497,PAYMENT,4940.26,63465.05,7821.33,68272.44,86842.98,0,0
302,CASH_OUT,671.6,51424.45,91302.63,22477.61,58.7,0,0
181,DEBIT,19.4,19192.36,46822.39,10918.51,98787.74,0,0
607,CASH_OUT,774.17,84410.94,99491.63,69055.97,62386.4,0,0
99,DEBIT,7146.42,28567.59,11177.5,94312.58,35236.54,0,0
700,DEBIT,4273.64,656.44,29322.43,71154.16,39349.74,0,0
116,DEBIT,103.34,5597.66,17559.53,3348.1,49641.41,0,0
191,PAYMENT,1394.14,19668.63,84260.65,52070.78,96376.58,0,0
253,CASH_OUT,164.61,81351.88,10639.54,42570.79,8670.63,0,0
161,CASH_OUT,3112.09,97453.45,76396.93,9698.96,8601.07,0,0
256,CASH_OUT,932.39,71667.64,48433.11,98313.66,1185.11,0,0
323,CASH_OUT,4859.59,16624.42,86060.31,49600.79,16746.75,0,0
128,TRANSFER,111.98,86503.29,9991.53,89569.96,85915.87,0,0
18,PAYMENT,2648.49,81003.35,14548.41,31261.28,59938.8,0,0
